Time,Battery,CPU,RAM,Brightness,Charging,Estimated_Seconds_Left,Chrome,VSCode,WhatsApp,OneNote,WPS,Active_App_Count,workload,data_source
SYN_001,22,8.661792699386078,60.14002384063926,23,False,-1,1,0,0,0,1,2,Browsing,synthetic
SYN_002,27,12.751411790978036,57.1,23,False,-1,1,0,1,0,1,3,Whatsapp,synthetic
SYN_003,25,5.244551232844205,61.091760604750924,23,False,-1,0,1,0,0,1,2,Coding,synthetic
SYN_004,26,10.957997106239278,61.72043410863963,23,False,-1,1,1,1,0,1,4,Mixed,synthetic
SYN_005,26,10.09849493715707,62.86668790314342,23,False,-1,1,0,0,0,1,2,Browsing,synthetic
SYN_006,24,13.218103017420082,58.601264013378064,23,False,-1,1,0,1,0,1,3,Whatsapp,synthetic
SYN_007,27,6.351768842791905,61.453126176123746,23,False,-1,0,1,0,0,1,2,Coding,synthetic
SYN_008,17,13.19612575326818,62.92511113352062,23,False,-1,1,1,1,0,1,4,Mixed,synthetic
SYN_009,17,7.437844091136849,60.67860568339409,23,False,-1,1,0,0,0,1,2,Browsing,synthetic
SYN_010,28,10.013676294827995,57.25750826675534,23,False,-1,1,0,1,0,1,3,Whatsapp,synthetic
SYN_011,22,7.619666123779426,61.69846377833002,23,False,-1,0,1,0,0,1,2,Coding,synthetic
SYN_012,17,12.03183152898997,63.646231504511825,23,False,-1,1,1,1,0,1,4,Mixed,synthetic
SYN_013,21,13.254119002176154,61.09037747542308,23,False,-1,1,0,0,0,1,2,Browsing,synthetic
SYN_014,20,8.365568179380306,58.823969133863244,23,False,-1,1,0,1,0,1,3,Whatsapp,synthetic
SYN_015,25,11.322430731802228,60.72907881351769,23,False,-1,0,1,0,0,1,2,Coding,synthetic
SYN_016,22,8.938796960771901,63.97588918173705,23,False,-1,1,1,1,0,1,4,Mixed,synthetic
SYN_017,26,9.758135428008606,62.5147314024578,23,False,-1,1,0,0,0,1,2,Browsing,synthetic
SYN_018,26,10.9804033076668,58.07502871371109,23,False,-1,1,0,1,0,1,3,Whatsapp,synthetic
SYN_019,24,9.046721491822533,62.207143166922286,23,False,-1,0,1,0,0,1,2,Coding,synthetic
SYN_020,18,12.697283907679736,63.101368604233336,23,False,-1,1,1,1,0,1,4,Mixed,synthetic
SYN_021,22,8.622798496724961,62.646932338757814,23,False,-1,1,0,0,0,1,2,Browsing,synthetic
SYN_022,25,9.600821959106748,57.1944410185608,23,False,-1,1,0,1,0,1,3,Whatsapp,synthetic
SYN_023,19,6.902805379391645,60.487286623159974,23,False,-1,0,1,0,0,1,2,Coding,synthetic
SYN_024,18,8.835422210766891,64.2,23,False,-1,1,1,1,0,1,4,Mixed,synthetic
SYN_025,23,3.6928255709604887,61.19767245502134,23,False,-1,1,0,0,0,1,2,Browsing,synthetic
SYN_026,24,11.865555828398195,58.96683986968928,23,False,-1,1,0,1,0,1,3,Whatsapp,synthetic
SYN_027,21,10.483368087999812,60.37691239162734,23,False,-1,0,1,0,0,1,2,Coding,synthetic
SYN_028,22,13.144939703142885,62.71304351267758,23,False,-1,1,1,1,0,1,4,Mixed,synthetic
SYN_029,26,4.710784191655195,60.000069178994785,23,False,-1,1,0,0,0,1,2,Browsing,synthetic
SYN_030,17,11.64290186013441,58.113638604105844,23,False,-1,1,0,1,0,1,3,Whatsapp,synthetic
SYN_031,23,10.226213385169421,60.259121030495194,23,False,-1,0,1,0,0,1,2,Coding,synthetic
SYN_032,26,12.563975984918342,62.53598019041964,23,False,-1,1,1,1,0,1,4,Mixed,synthetic
SYN_033,21,9.04193809389353,60.707111088400026,23,False,-1,1,0,0,0,1,2,Browsing,synthetic
SYN_034,17,9.445655265004177,57.1,23,False,-1,1,0,1,0,1,3,Whatsapp,synthetic
SYN_035,27,9.717431201963954,60.19589648969591,23,False,-1,0,1,0,0,1,2,Coding,synthetic
SYN_036,23,12.201866647264772,63.66979676404492,23,False,-1,1,1,1,0,1,4,Mixed,synthetic
SYN_037,19,9.563462772431965,61.552271773235866,23,False,-1,1,0,0,0,1,2,Browsing,synthetic
SYN_038,20,10.200704472734003,57.1,23,False,-1,1,0,1,0,1,3,Whatsapp,synthetic
SYN_039,21,4.882218818942282,58.915950581468394,23,False,-1,0,1,0,0,1,2,Coding,synthetic
SYN_040,28,11.999435566808591,61.64178141695991,23,False,-1,1,1,1,0,1,4,Mixed,synthetic
